experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
lc_exp_only_linear,learning_curve,298,10,0.5368518518518519,0.0115895294474018,0.521098695839578,0.0135458430788932,0.3063673379072708,0.017408510013065,2025-10-14T11:59:05.282365
lc_exp_only_linear_perf,learning_curve,304,10,0.5609098228663445,0.0125844778157501,0.5448032764195124,0.0151032934120957,0.343424893214549,0.0188210185257776,2025-10-14T11:59:24.069005
lc_baseline_agg_linear,learning_curve,1189,10,0.6043915343915345,0.0121972049535025,0.5974060564220738,0.0135080372233872,0.4076440220735683,0.0182351161342908,2025-10-14T12:00:58.578993
lc_baseline_agg_linear_perf,learning_curve,1213,10,0.6352455716586152,0.0166780534442187,0.6277777452355944,0.0181534057378155,0.4547316020775525,0.0250905875184435,2025-10-14T12:02:33.834636
lc_baseline_agg_all,learning_curve,1837,10,0.5964573268921096,0.0113548298851096,0.5846835696967465,0.0128756508448655,0.3966205327444244,0.0172858432564251,2025-10-14T12:04:38.784070
lc_baseline_concat_linear,learning_curve,298,10,0.5142989417989419,0.0166763978291416,0.4988097816303466,0.0181818429146267,0.272702295605716,0.0249256347963061,2025-10-14T12:05:05.206911
lc_baseline_both_linear,learning_curve,1189,10,0.6057407407407408,0.0200652844882078,0.5988378739805128,0.0215078639508374,0.4097330459755599,0.0300982892688534,2025-10-14T12:06:42.082600
lc_adaptive_per_trial,learning_curve,298,10,0.4874074074074074,0.021288014938381,0.4868656542681527,0.0201894537056166,0.2321416549674888,0.0318445207690261,2025-10-14T12:07:07.996816
lc_baseline_both_performance_linear,learning_curve,1213,10,0.629891304347826,0.018412966806644927,0.6214149392213535,0.01837447777037038,0.44684112194451703,0.027830018163139143,2025-10-14T12:15:31.539973
