participant,condition,column,window_index,window_start,window_end,perc_recur,perc_determ,maxl_found,mean_line_length,std_line_length,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
402,H,crqa_eye_head_x,0,0,3600,3.236771700356718,95.99143846974127,69.0,5.222532200755052,4.834093984572563,3.2820428856999553,0.9613557627058109,5.354561859698481,63.0,0.014492753623188406,-1.3220806636394715,-1.756727233046766
402,H,crqa_eye_head_x,1,1800,5400,0.9546918351169243,96.35780205333126,54.0,5.267174128882795,4.6184329471905015,3.3110207213921257,0.9676950621448402,5.714971650406088,82.0,0.018518518518518517,0.5556629527106834,1.4801733937493435
402,H,crqa_eye_head_x,2,3600,7200,3.9942693882943585,98.68230099106512,198.0,9.552882787328144,14.509383650497922,4.221801211663518,0.988551275319295,10.432043282865745,242.0,0.005050505050505051,-1.2690607996265233,-0.7324729930609051
402,H,crqa_eye_head_y,0,0,3600,0.9951446690447879,96.29426798101497,60.0,6.183067824604401,5.9579170419219665,3.6017229618344393,0.9663696106741013,6.695199770048864,92.0,0.016666666666666666,-0.5463762459314312,0.16679612016356127
402,H,crqa_eye_head_y,1,1800,5400,1.4777216276919012,97.13340560354943,110.0,7.718142260900453,8.51524009491709,4.000054292362744,0.9807329093977358,9.276427061310782,109.0,0.00909090909090909,-0.27937476848485526,-0.6210973318063181
402,H,crqa_eye_head_y,2,3600,7200,1.2869021667327256,97.511052364789,159.0,8.079642724227764,10.45185396344947,4.02855413269039,0.9848378879556494,9.954342045528245,113.0,0.006289308176100629,-0.0835955401383364,0.24119947493133856
402,L,crqa_eye_head_x,0,0,3600,0.7143612101994979,98.29619012391345,93.0,8.450561462784458,10.708848443800925,4.012297095698964,0.9839213057148142,8.915994553262806,165.0,0.010752688172043012,0.8120055600956002,-0.011371186991443958
402,L,crqa_eye_head_x,1,1800,5400,1.8470735896419606,95.78073030292192,37.0,4.710758338646907,3.408556695171332,3.097624645095213,0.9591305747290869,4.781288999821715,40.0,0.02702702702702703,-0.8404428398070587,-0.4253047081649417
402,L,crqa_eye_head_x,2,3600,7200,2.4965897080195534,95.71154997403646,78.0,4.742085081279496,3.852117887989157,3.108382487665974,0.9590602850367294,4.864517103122012,67.0,0.01282051282051282,-0.7650753596505468,-0.7474293069689244
402,L,crqa_eye_head_y,0,0,3600,0.645238803012287,89.57781446359786,22.0,5.769617540389054,5.0852855052667705,3.043503016054218,0.8961492686297846,5.795894719417315,18.0,0.045454545454545456,0.0,2.6311461422191016
402,L,crqa_eye_head_y,1,1800,5400,0.2993955608402695,92.49544928015887,23.0,3.7903481012658227,2.3195766367901043,2.615195278577901,0.9347454354900987,4.023744509082275,26.0,0.043478260869565216,0.3810927838777568,-0.018465718998817493
402,L,crqa_eye_head_y,2,3600,7200,0.02960265556876734,91.99442119944212,12.0,3.361875637104995,1.4792255422069276,2.2688884757843737,0.9336122733612273,3.8034090909090907,14.0,0.08333333333333333,0.08227189974960679,-0.00412014945717329
402,M,crqa_eye_head_x,0,0,3600,0.9773583036068173,99.11880502188203,164.0,13.319595821980018,23.018467238012338,4.517500122762966,0.9916949696693196,15.379848008385745,319.0,0.006097560975609756,-0.46484094338636534,-0.08920812356212282
402,M,crqa_eye_head_x,1,1800,5400,2.124892654247589,96.47421823085263,176.0,6.096908077310347,7.9481540372707356,3.5170564307624925,0.9654533231260662,6.2952742936779424,128.0,0.005681818181818182,0.48363801380617805,-0.5067095197551569
402,M,crqa_eye_head_x,2,3600,7200,2.1517373497159467,96.63908758787953,42.0,5.531719532554257,4.410552594554664,3.4391248631872604,0.9688085223958494,5.785100483512455,58.0,0.023809523809523808,-0.7108540033819605,-0.5079490500323824
402,M,crqa_eye_head_y,1,1800,5400,0.12578444972915842,94.33466815466421,23.0,4.242692648361381,2.906398601760144,2.8660158851925965,0.9613995929889056,5.062219149671622,64.0,0.043478260869565216,-0.01335055680062602,-0.03669193309886077
402,M,crqa_eye_head_y,2,3600,7200,0.3379409433214427,97.0605483066999,65.0,5.558774139378674,4.157678211915154,3.445997393325129,0.9772027561941065,6.828239713163736,160.0,0.015384615384615385,-0.17121728002438338,-0.08818694785857077
404,H,crqa_eye_head_x,0,0,3600,0.7071442726912406,95.66080478292346,34.0,4.48617271781392,3.2128356712233477,2.9999756615672193,0.9614540274177351,4.82999941338652,104.0,0.029411764705882353,-0.12416144971671533,0.338973132517511
404,H,crqa_eye_head_x,1,1800,5400,0.8285358039371119,90.4523664776408,24.0,3.5630888819095476,2.182551079606159,2.4648744570888232,0.9111013663680124,3.6938462160087275,32.0,0.041666666666666664,-0.2149002493656228,0.24640018530979677
404,H,crqa_eye_head_x,2,3600,7200,1.2232461355529132,90.53800459025247,32.0,3.617027588252744,2.554549862794912,2.481203135416685,0.9112258674227083,3.7012695017959474,32.0,0.03125,-0.3973666261667125,0.43452213026414277
404,H,crqa_eye_head_y,0,0,3600,0.1728349187475228,90.11514022263628,29.0,3.7298793751235912,2.4839216103625175,2.5696017315927095,0.9221250776360422,4.518024344569288,37.0,0.034482758620689655,-0.05850791780314977,0.057049719056621935
404,H,crqa_eye_head_y,1,1800,5400,0.035440613026819924,90.02795899347623,19.0,3.694072657743786,2.281797463809833,2.5206229867050203,0.923578751164958,4.758703481392557,32.0,0.05263157894736842,-0.019851757101283604,-0.022599352542448457
404,H,crqa_eye_head_y,2,3600,7200,0.004368146386576827,90.54820415879017,19.0,4.838383838383838,4.532056573120091,2.745143089761031,0.9149338374291115,5.9753086419753085,25.0,0.05263157894736842,0.0160292913279618,-0.00016269259994149664
404,L,crqa_eye_head_x,0,0,3600,2.3145395692958117,97.05708169818053,76.0,5.283877483636646,4.578615076587533,3.3165112571079023,0.9721120228326793,5.424814350275737,76.0,0.013157894736842105,-1.2284052320439303,-0.33058206709154975
404,L,crqa_eye_head_x,1,1800,5400,1.4050815827718324,94.66035107927199,60.0,4.581851799175082,4.097660114865242,3.0062737487262416,0.9502059813940915,4.747988488870617,60.0,0.016666666666666666,2.358562236253717,-0.2176235493835706
404,L,crqa_eye_head_x,2,3600,7200,0.7490751750561501,89.45279774240487,23.0,3.447531650947404,2.0483336880622987,2.376223283255776,0.9000176374619693,3.56112880010468,31.0,0.043478260869565216,0.0872695788801284,-0.13906450001483173
404,L,crqa_eye_head_y,0,0,3600,0.027414453692693883,94.24698795180723,11.0,3.4766666666666666,1.8362128901022712,2.370336497633043,0.9515060240963855,3.792316926770708,14.0,0.09090909090909091,-0.007925077715473239,-0.007266428304718908
404,L,crqa_eye_head_y,1,1800,5400,0.04895792046505483,97.26766739753752,14.0,5.010425716768028,2.7894356512207454,3.1346202067845286,0.9792545117220441,5.57732949087416,18.0,0.07142857142857142,0.0022396632499421852,-0.007606153728628065
404,L,crqa_eye_head_y,2,3600,7200,0.020428722420398997,92.11802748585286,10.0,3.2886002886002887,1.4654658318432603,2.1851817632384942,0.9413904607922393,4.02245250431779,13.0,0.1,-0.008698543926942654,-0.010579873702597439
404,M,crqa_eye_head_x,0,0,3600,1.1229769454353282,93.44470833915454,29.0,4.049389797023866,2.7897774858632403,2.7717222451468966,0.9382192254240902,4.22583957077565,55.0,0.034482758620689655,-0.5843382335315341,-0.19139695071607557
404,M,crqa_eye_head_x,1,1800,5400,1.112688267934998,96.85642407106441,33.0,5.084933961896599,3.6269041169363287,3.2681358007151773,0.9713916779838369,5.565542752668056,76.0,0.030303030303030304,-0.23993139347196574,0.09817524311595763
404,M,crqa_eye_head_x,2,3600,7200,0.9657979918086933,98.7987551512457,125.0,8.289598278335724,10.423898886109585,4.058871408837345,0.9881328978642636,8.800944258300335,89.0,0.008,-0.25632732191106705,0.6782229045902549
404,M,crqa_eye_head_y,0,0,3600,0.1795068701281543,98.04498826992962,38.0,6.156556903523975,4.428100299035257,3.626079583713797,0.9864299185795115,7.482205163991626,50.0,0.02631578947368421,-0.028961989868436764,0.6725950947608784
404,M,crqa_eye_head_y,1,1800,5400,0.0025350112300171752,89.90228013029316,5.0,2.816326530612245,0.9185940763205623,1.7029180475447823,0.9348534201954397,3.3372093023255816,6.0,0.2,-0.0010114639377730998,-0.0011493058277244144
404,M,crqa_eye_head_y,2,3600,7200,0.0011725459109525698,80.28169014084507,4.0,2.7804878048780486,0.6811824411594606,1.4416569842229139,0.8802816901408451,3.289473684210526,8.0,0.25,-0.000521808654901869,-0.0007625325756807362
407,H,crqa_eye_head_x,0,0,3600,1.1930572070286696,93.20063121176047,30.0,4.060549407472183,2.7317661163318294,2.7772479686608373,0.9346432823011545,4.138807159494912,30.0,0.03333333333333333,-0.7594683191417728,0.5531625485513958
