participant,condition,column,window_index,window_start,window_end,perc_recur,perc_determ,maxl_found,mean_line_length,std_line_length,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
402,H,blink_dist,0,0,3600,2.4273655213305156,17.040107919586745,15.0,4.866566434880662,1.354151819656713,1.8534570659345841,0.3954331589510743,5.764497098182167,31.0,0.06666666666666667,0.6080433271484447,0.6080433271484447
402,H,blink_dist,1,1800,5400,2.4200338280176426,19.78007471651288,46.0,5.001335113484646,1.6225006104230988,1.9891516044965416,0.411868176837881,5.937250237868697,31.0,0.021739130434782608,-0.08933560705755435,-0.08933560705755435
402,H,blink_dist,2,3600,7200,1.418866347703399,12.018732831989913,39.0,4.686567164179104,1.4639671160771752,1.606454404912116,0.3356599270500293,5.203944497774675,21.0,0.02564102564102564,-0.3333707878660424,-0.3333707878660424
402,H,blink_dist,3,5400,9000,1.7713307151148368,13.374032860208848,18.0,4.6697103274559195,1.2697465649741413,1.5916221568570887,0.36476274640647827,5.3188691650230115,21.0,0.05555555555555555,-0.5296140666779897,-0.5296140666779897
402,H,blink_dist,4,7200,10800,2.6259122487357622,18.574774171963867,47.0,5.039775540518237,1.8513593982560008,2.0076783689573294,0.3964171659722011,6.071268865287871,70.0,0.02127659574468085,-1.1290059688591745,-1.1290059688591745
402,H,blink_dist,5,9000,12600,1.6665306283484793,10.525912223361736,18.0,4.683155650319829,1.253325580161851,1.620033608976253,0.29565429921501346,5.472633726603388,28.0,0.05555555555555555,-0.6368968750817564,-0.6368968750817564
402,H,blink_dist,6,10800,14400,1.1107275771181526,9.597768094683406,18.0,4.709950599858857,1.3550370486988434,1.6299465533900444,0.2903130707393186,5.204976150573676,20.0,0.05555555555555555,-0.23564536300222313,-0.23564536300222313
402,H,blink_dist,7,12600,16200,1.3832621115500365,9.554382845067495,16.0,4.738831615120275,1.3365312201590651,1.6829161073671952,0.27909098257485654,5.275922287710107,28.0,0.0625,-0.32591603042153205,-0.32591603042153205
402,H,blink_dist,8,14400,18000,1.6890687966806437,17.84876683310637,24.0,5.047873763038245,1.7361710965808288,2.020511183364626,0.38334089877439853,5.928916191311979,58.0,0.041666666666666664,-0.8555336391814425,-0.8555336391814425
402,H,blink_dist,9,16200,19800,1.5591588583068006,18.223355974224216,28.0,5.051973871059358,1.7373299840071077,2.0277801644274085,0.3903146161805534,5.94832162373146,38.0,0.03571428571428571,-0.3207310080901767,-0.3207310080901767
402,H,blink_dist,10,18000,21600,1.8158000706334376,17.502067242562326,26.0,4.8920580280304895,1.4554792462683572,1.8719282812565134,0.3997123453966467,5.68834501752629,28.0,0.038461538461538464,-0.5996192628974943,-0.5996192628974943
402,H,blink_dist,11,19800,23400,1.5792691020560528,11.406897946798827,15.0,4.687448046550291,1.2192963867420552,1.6322511848918109,0.3194851825629615,5.306148160591299,24.0,0.06666666666666667,0.012382564078152107,0.012382564078152107
402,H,blink_dist,12,21600,25200,1.2627444077469323,6.386773597793913,10.0,4.488,0.9404906520889211,1.3439663975589387,0.2329799883623852,4.906886905554815,16.0,0.1,0.3223123096362656,0.3223123096362656
402,H,blink_dist,13,23400,27000,2.1155369443067644,13.41331742711959,19.0,4.727248536455561,1.253354174618061,1.6852076149006925,0.343362805131264,5.576456161863887,27.0,0.05263157894736842,-0.7988038264032619,-0.7988038264032619
402,H,blink_dist,14,25200,28800,1.6766097100051738,14.860333066575206,20.0,4.762748091603053,1.3684175144282398,1.7191423443433667,0.35960424526504325,5.569236444116562,33.0,0.05,0.9643022739930333,0.9643022739930333
402,L,blink_dist,0,0,3600,5.822834023721143,39.64470096395986,73.0,5.711124283738392,2.560489839908941,2.5505325648812582,0.6044431581892697,7.365373044524669,66.0,0.0136986301369863,-0.7610154422522084,-0.7610154422522084
402,L,blink_dist,1,1800,5400,3.0964504221793465,24.371044038524037,42.0,4.986174142480211,1.6021485841735237,1.972244083000549,0.48671931824630005,6.026956244011498,36.0,0.023809523809523808,-0.304613574919926,-0.304613574919926
402,L,blink_dist,2,3600,7200,2.3143711890968297,21.982731846698552,35.0,5.179024390243902,2.0049489236381013,2.130798452194625,0.44888571408852174,6.0995498452593075,56.0,0.02857142857142857,-0.6779609902365189,-0.6779609902365189
402,L,blink_dist,3,5400,9000,1.9626096419593926,20.358267748577752,35.0,5.198254364089776,1.9993174924743626,2.148069449214465,0.4250380486534439,6.04864489228631,54.0,0.02857142857142857,0.6475758342686351,0.6475758342686351
