participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
424,M,0,-0.185784959,-0.011522594,0.105843785,-0.103268537,0.00487289,0.243154382,0.168108325,0.16148002,4.6e-07,0.218781278,0.026739201,0.010466474,-0.01563715,0.010075452,0.004037059,-0.00035588,-0.042617803,0.027317635,0.02096334,-0.016900268,0.023047727,0.064838518,0.048515302,0.048251324,0.009865757,0.300174896,0.094307399,0.078458102,0.00239943,0.176796054,0.060132847,0.048888571,0.006289493,0.272599118,0.072649337,0.054752603
424,M,1,-0.168229746,-0.04755261,0.110391895,-0.109575258,0.012653087,0.219075533,0.174235228,0.169171768,4.6e-07,0.218781278,0.034907416,0.014568959,-0.013111043,0.011301519,0.003853029,0.000876647,-0.039222427,0.027193024,0.021830539,-0.019224409,0.023252615,0.065381951,0.048883175,0.048615413,0.010539568,0.176010164,0.082552164,0.073538067,0.00239943,0.151810804,0.068482395,0.057779036,0.00514627,0.143985655,0.046097953,0.036601851
424,M,2,-0.210791102,-0.075061184,0.117933554,-0.11712121,0.015250424,0.214071253,0.176360294,0.172902438,2.19e-06,0.188470094,0.034745849,0.014416639,-0.013275761,0.012182598,0.004505726,0.00126155,-0.040720876,0.027193024,0.023305155,-0.022068875,0.023252615,0.065381951,0.049649704,0.049332946,0.010539568,0.18448998,0.084682315,0.075685632,0.001923715,0.151810804,0.06649031,0.054758283,0.00514627,0.154976374,0.052441711,0.042419987
425,H,0,-0.231479513,0.572276866,0.085914149,-0.047907877,0.00637311,0.201444038,0.154539454,0.146895085,5.9e-06,0.203028959,0.018704738,0.012836467,-0.029039182,0.010628934,0.007134061,-0.006088481,-0.119634849,0.025546741,0.01917125,-0.015511429,0.017112253,0.128784725,0.042731348,0.042195538,0.013203262,2.046701291,0.322319592,0.174498302,0.004437753,1.177444671,0.186887127,0.095384595,0.005930345,1.692069791,0.262608303,0.135219403
425,H,1,-0.136506147,0.076174548,0.05434769,-0.050131197,0.00637311,0.196256439,0.167101367,0.1625207,3.22e-05,0.203028959,0.018721165,0.012953651,-0.016815927,0.007834771,0.006856779,-0.005498429,-0.034608374,0.024154774,0.0173806,-0.014963161,0.018499261,0.054719966,0.041426199,0.04104927,0.013203262,0.42520809,0.102704945,0.083766622,0.00431453,0.219887224,0.05753574,0.045716811,0.005649517,0.382545814,0.085076109,0.063346303
425,H,2,-0.136506147,0.030645531,0.054013477,-0.049777348,0.009924873,0.198093986,0.170687233,0.167986165,4.87e-06,0.099770504,0.017226221,0.012741679,-0.018955003,0.007834771,0.00840559,-0.006524551,-0.035777213,0.022026327,0.018224424,-0.016477032,0.023417639,0.055535781,0.041235559,0.040871029,0.018558068,0.42520809,0.118609229,0.099571686,0.00431453,0.205903944,0.081562806,0.065104217,0.005649517,0.382545814,0.086114214,0.064880548
425,L,0,-0.220001243,0.451630635,0.084182437,-0.062756961,0.002979539,0.189027012,0.156299391,0.150491787,1.94e-07,0.164856527,0.015712877,0.008226285,-0.026636032,0.121878203,0.008133655,-0.005745199,-0.174016458,0.029959193,0.021818124,-0.018563029,0.019724895,0.242427252,0.043735396,0.042914614,0.009725103,0.905871631,0.152637381,0.108525977,0.001950538,0.278381439,0.080040641,0.062744355,0.004635427,0.876989391,0.129967942,0.075903827
425,L,1,-0.171960898,0.061829,0.083664507,-0.08085649,0.002979539,0.189967544,0.166502605,0.162903544,9.81e-06,0.122977129,0.016830722,0.011989457,-0.020483143,0.004269819,0.008238931,-0.007491182,-0.030817396,0.029709124,0.020961058,-0.019193536,0.020315421,0.055480388,0.042990373,0.042759402,0.009725103,0.284618475,0.077908349,0.06525996,0.001950538,0.123542575,0.050568569,0.040159592,0.004635427,0.259458372,0.059266607,0.041338327
425,L,2,-0.171960898,0.035418462,0.081132198,-0.078114214,0.006689526,0.194406155,0.16121873,0.156408887,5.45e-08,0.186834674,0.019105945,0.012911,-0.020483143,0.006333999,0.008144477,-0.006974977,-0.033144067,0.029709124,0.020300199,-0.017831078,0.021448949,0.052723076,0.041766098,0.04151764,0.020121334,0.300356094,0.094695303,0.085635265,0.002851207,0.157910357,0.055824756,0.046505136,0.005048159,0.259458372,0.076490503,0.060684155
425,M,0,-0.122487643,0.234593067,0.058227283,-0.037346186,0.008312995,0.186496154,0.144135447,0.136233937,2.65e-06,0.171943019,0.028423393,0.016608133,-0.021447085,0.007970217,0.004508055,-0.002199951,-0.037816864,0.032262274,0.021872031,-0.01737122,0.017321222,0.051811389,0.039210845,0.038880675,0.013940481,0.606179055,0.137577173,0.113552579,0.004623433,0.553751778,0.101789489,0.079738509,0.005452068,0.372022283,0.092554733,0.071187384
425,M,1,-0.179662389,0.001155478,0.06136992,-0.053111115,0.009706714,0.19383431,0.162435825,0.161404388,4.47e-06,0.171943019,0.03025125,0.019887386,-0.015706814,0.007970217,0.004605893,-0.002632454,-0.037816864,0.013164349,0.02237739,-0.021799136,0.018333842,0.054197101,0.041185138,0.041007675,0.013940481,0.292137269,0.086434155,0.075494499,0.005294909,0.21324759,0.065897742,0.056594362,0.005452068,0.214427343,0.055931661,0.043352984
425,M,2,-0.179662389,-0.001169604,0.073137701,-0.068123779,0.014868033,0.19383431,0.166478698,0.165676611,1.03e-05,0.171879551,0.021188824,0.015892565,-0.017485732,0.006673111,0.006625403,-0.005363143,-0.03235373,0.006061943,0.021892597,-0.02147086,0.022865578,0.054197101,0.041557728,0.041386234,0.015093289,0.292137269,0.098035988,0.089278816,0.005547847,0.21324759,0.073644545,0.066346119,0.005912152,0.214427343,0.064711173,0.055099344
