participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,head_tx_min,head_tx_max,head_tx_rms,head_tx_mean,head_ty_min,head_ty_max,head_ty_rms,head_ty_mean,head_scalex_min,head_scalex_max,head_scalex_rms,head_scalex_mean,head_scaley_min,head_scaley_max,head_scaley_rms,head_scaley_mean,head_motion_mag_min,head_motion_mag_max,head_motion_mag_rms,head_motion_mag_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean
448,H,1,-0.099683751,0.07618533,0.026144015,0.003547715,-0.050844106,0.041268011,0.016924991,0.001042252,-0.086448607,0.0150121,0.026664357,-0.011389606,0.956527428,1.042079947,0.987723434,0.987645309,0.942615743,1.098002864,0.995007344,0.9945527,0.00279612,0.13777362,0.047314082,0.040272958,0.001297239,0.020443693,0.016056722,0.015098668,5.32e-10,0.019259515,0.002012117,0.000706793,-0.001349842,0.001014461,0.000411201,-0.000163657,-0.005085544,0.001369737,0.002318192,-0.001923877,0.001681387,0.006287035,0.004017214,0.003931386
448,H,2,-0.099683751,0.07618533,0.028056,-0.001272369,-0.050844106,0.041268011,0.020654308,-0.011613144,-0.086448607,0.018077638,0.028395387,-0.014758582,0.956527428,1.042079947,0.99681176,0.996722486,0.942615743,1.098002864,1.00633394,1.005903326,0.004803809,0.13777362,0.048197066,0.040458666,0.001184692,0.020400507,0.01529553,0.014275292,9.98e-11,0.001975032,0.000522502,0.000368902,-0.001416213,0.001014461,0.000477392,-0.000334103,-0.005022555,0.001369737,0.002388455,-0.001951462,0.001681387,0.006282257,0.004024702,0.003929774
448,L,0,-0.097884978,0.077593298,0.035270199,-0.009303972,-0.047428283,0.028322582,0.019711341,-0.01300087,-0.126144722,0.047155974,0.03188587,-0.001791258,0.938539065,1.027310834,0.987569769,0.987460739,0.906321767,1.123757619,0.99672763,0.99600444,0.012905109,0.177697911,0.056876208,0.051583579,0.000777488,0.021352947,0.015627271,0.014889456,7.41e-10,0.016100291,0.002258165,0.000818739,-0.001706852,0.000783472,0.000566435,-0.000366873,-0.005075565,0.001417348,0.002766118,-0.002453604,0.001895348,0.006027018,0.004458916,0.004377503
448,L,1,-0.098485494,0.077593298,0.039126118,-0.01028054,-0.054299781,0.028322582,0.02192494,-0.016784251,-0.126144722,0.047155974,0.033289192,-0.006429269,0.950933244,1.066887919,0.997728536,0.99764718,0.929209715,1.146556895,1.016867994,1.016454686,0.005092546,0.177697911,0.05355269,0.045248964,0.000777488,0.021352947,0.015182158,0.014207783,7.41e-10,0.017258318,0.00229674,0.000867646,-0.001706852,0.000731508,0.000598386,-0.000456696,-0.005228099,0.001417348,0.002837185,-0.002429696,0.001856023,0.006552663,0.004496707,0.004378251
448,L,2,-0.098485494,0.109666959,0.040235449,0.008985079,-0.054299781,0.026287802,0.019586249,-0.014718888,-0.08496698,0.058641575,0.024933844,-0.007038746,0.963374364,1.066887919,1.004627717,1.004552788,0.967600339,1.146556895,1.018010714,1.017772154,0.005092546,0.166292156,0.044475784,0.037656034,0.000832267,0.021430759,0.015723087,0.015127797,8.95e-09,0.020319917,0.004012125,0.001821365,-0.001349411,0.000819538,0.00055164,-0.00040811,-0.005493954,0.001067948,0.003097049,-0.002782965,0.001856023,0.00655356,0.004606314,0.00450804
448,M,0,-0.057635895,0.076622706,0.03277103,0.019185633,-0.055632111,0.025185096,0.013465452,-0.007614828,-0.065311865,0.034927746,0.018789905,-0.000274427,0.939885387,1.049312403,0.995560352,0.995467923,0.920494322,1.104726051,1.004299787,1.004063913,0.002477481,0.121198398,0.03505971,0.029444046,0.001223792,0.020341064,0.015562984,0.015154481,2.33e-08,0.016321975,0.003709831,0.0017678,-0.001437303,0.000598465,0.000482297,-0.000314484,-0.005128773,0.001254367,0.003235378,-0.00296703,0.002206061,0.006320385,0.0046682,0.00460756
448,M,1,-0.063923138,0.076622706,0.036685428,0.005654621,-0.055632111,0.030968397,0.02413594,-0.018229645,-0.047863467,0.038540057,0.018914443,0.004839012,0.975428846,1.049312403,1.00145447,1.001410795,0.955864396,1.091780846,1.00960464,1.009427892,0.005832116,0.103468119,0.038412364,0.033413227,0.00126483,0.020341064,0.016243375,0.015870098,2.38e-10,0.016321975,0.00368809,0.001878359,-0.001570766,0.001053309,0.000524156,-0.000341398,-0.005317606,0.001763373,0.00319773,-0.002941416,0.002388702,0.006207532,0.004715198,0.004655858
448,M,2,-0.108398537,0.073602791,0.035149337,-0.012347591,-0.069007138,0.030968397,0.028831921,-0.023459113,-0.059402181,0.062745372,0.024541917,0.004839649,0.972986213,1.070783966,1.002051803,1.001980262,0.966469533,1.141521315,1.017604912,1.017244126,0.002481853,0.174873761,0.051111446,0.044468271,0.000773405,0.020866075,0.015683839,0.014876844,2.38e-10,0.018326261,0.002723691,0.00122695,-0.001570766,0.001224128,0.000574722,-0.000413254,-0.005317606,0.001763373,0.003099197,-0.002707256,0.001973025,0.006511219,0.004631008,0.004532148
449,H,0,-0.049671957,0.093922163,0.019987409,0.004335084,-0.022509837,0.04695058,0.030082345,0.028066553,0.108914978,0.224330738,0.19701111,0.196038506,0.85656383,0.936860411,0.898527091,0.898458983,0.857377583,1.082599681,0.949902671,0.949167008,0.140743406,0.296841868,0.232663623,0.231668134,0.001625318,0.018615267,0.014210131,0.013568478,1.02e-08,0.026822685,0.007811834,0.005357555,-0.001474141,0.00093067,0.00041787,-0.000153171,-0.003133593,0.002637994,0.001531391,-0.001117149,0.002929363,0.005830994,0.004479123,0.004444416
449,H,1,-0.049671957,0.027357583,0.014460839,-0.004807155,-0.003866014,0.041999257,0.026579054,0.025526724,0.154657702,0.224330738,0.199820851,0.199346133,0.872812069,0.932993345,0.906962742,0.906907913,0.893039406,1.065525462,0.959344538,0.958785338,0.178690748,0.271741529,0.228411197,0.227858005,0.001767509,0.018984474,0.014414689,0.013851247,1.39e-06,0.020035459,0.0051379,0.002935444,-0.001441419,0.000827561,0.00039575,-0.000217141,-0.002883035,0.002129535,0.001343872,-0.001002636,0.002961553,0.005830994,0.004501496,0.004465151
