source,participant,condition,window_index,t_start_frame,t_end_frame,head_rotation_rad_mean_abs_vel,head_rotation_rad_mean_abs_acc,head_rotation_rad_rms,head_tx_mean_abs_vel,head_tx_mean_abs_acc,head_tx_rms,head_ty_mean_abs_vel,head_ty_mean_abs_acc,head_ty_rms,head_scale_mean_abs_vel,head_scale_mean_abs_acc,head_scale_rms,head_motion_mag_mean_abs_vel,head_motion_mag_mean_abs_acc,head_motion_mag_rms,blink_aperture_mean_abs_vel,blink_aperture_mean_abs_acc,blink_aperture_rms,mouth_aperture_mean_abs_vel,mouth_aperture_mean_abs_acc,mouth_aperture_rms,pupil_metric_mean_abs_vel,pupil_metric_mean_abs_acc,pupil_metric_rms
procrustes_participant,402,H,0,0,3600,0.24602492053535707,8.779076078637068,0.12332721174314264,0.7237472536155445,22.769277343297244,0.645091519667173,0.8753257272911522,28.451632450760947,0.5050792762571285,0.12981759555997857,4.529333715580936,0.028623446718685747,1.1802677103315824,41.34473590447939,0.45193103104484383,0.17134798277273516,6.015058151509779,0.03461405880122664,0.18257312575862084,7.262092422940891,0.037453385631259564,0.08093255219986749,3.3561806306897415,0.007116859817677728
procrustes_participant,402,H,1,1800,5400,0.2291754363192517,8.329139585839512,0.11696411847711806,0.6568947928458673,20.86297515758298,0.4093184571861698,0.7759146234910516,25.19503077755435,0.43976292124747585,0.11762229390382485,3.966573741072059,0.025965098157893943,1.0754289248757192,38.320805444924176,0.39796262177784786,0.15824952930075578,5.756000135106733,0.03217053469832792,0.18442972793134663,7.363324843679456,0.03774034234505936,0.07363545376721045,3.028106940393783,0.006874966952272316
procrustes_participant,402,H,2,3600,7200,0.22693847878982637,8.137875002961211,0.08859025748901199,0.6731227706933113,21.53003986586173,0.28899915028953566,0.8019815376217165,26.182274555429704,0.34785144114820643,0.12196587420460618,4.142748531067691,0.02422006211755927,1.1380864154550847,41.804117339494894,0.34677365184724596,0.1663835187282436,5.925837321540513,0.030837769627774084,0.18889290354858798,7.763792258974526,0.03692619937715306,0.08196140834255798,3.3847102457589116,0.0072818994770953395
procrustes_participant,402,H,3,5400,9000,0.2609170240167287,9.144795798278567,0.10458613643117762,0.7779300619863418,24.375288196741266,0.3391063286586154,0.9265528172576544,29.43282369411623,0.421634518413492,0.13290808275590638,4.622533058595576,0.024123809335912662,1.229108100128005,44.45117174404695,0.389173795060112,0.18786632579243437,6.694341904593287,0.03195662114913174,0.25061050831813847,9.618901776267274,0.04258129831309328,0.09394177260854532,3.899641767534555,0.007288558828217995
procrustes_participant,402,H,4,7200,10800,0.2355145456902536,8.27741352366971,0.11135342193311132,0.7171362450429787,21.871890980132047,0.3684594983749746,0.8326520409782708,26.930177604822827,0.4088050168916993,0.11785954888747062,4.1494206664641275,0.021544757964882227,1.038596979796465,36.94465817668985,0.3688972177753814,0.1622887323258432,5.875592521812673,0.028006910596099287,0.17267666509890237,6.903434975371656,0.03313012320820684,0.082593005411858,3.380442456595064,0.006344439870852716
procrustes_participant,402,H,5,9000,12600,0.20859782369716443,7.427548105743357,0.10744010161641916,0.6258552210717817,19.62684598200575,0.3019801146412002,0.6803732248481811,22.45680676886645,0.34041620520071114,0.1018847469755777,3.691000968331636,0.017247615779467273,0.8503407428502172,29.936942219919814,0.3189346478802426,0.1329056407799915,5.014071441097554,0.020825735964559035,0.13992760133392798,5.311007465919739,0.03490499772632458,0.07792270144502138,3.16827872796166,0.006085798341756258
procrustes_participant,402,H,6,10800,14400,0.24169810955070004,8.679386557088513,0.11831305487995353,0.6940378283906793,21.72756720997972,0.37126286901589756,0.7859514304855533,24.475695167682332,0.4295188441908852,0.12287134162587923,4.224136685456507,0.021260647951978618,0.9888502695947955,35.13944517794324,0.3473263511697869,0.15542357095405485,5.703168698193872,0.02814684605130307,0.17941665800295833,6.696210303571842,0.039422147344838766,0.08707035741020185,3.6214213637751067,0.00659263790590716
procrustes_participant,402,H,7,12600,16200,0.24512384682285107,9.254310324630739,0.10741788404206899,0.6577858946622722,20.920362207127297,0.5854316068558103,0.8344827132035041,27.88263404649052,0.40920233834829073,0.13140992162170348,4.601435202564358,0.024017130233776277,1.088680807359356,42.71489502684118,0.4329468290875308,0.1619221046314561,5.8942007033934365,0.03197392916266048,0.12601795475178584,5.724795355400545,0.021476901693929153,0.0873347690995166,3.713218859821552,0.007716344881451638
procrustes_participant,402,H,8,14400,18000,0.21444341765958402,8.174986418654708,0.09093683596929339,0.5674483029842154,17.851839084668494,0.6260639060969879,0.7583173296621094,25.52902732754591,0.42100857902819033,0.12204953016231138,4.349461391194782,0.024289389086887016,0.9034205003875219,35.22055117664134,0.447745601798085,0.14742203876495769,5.337372076954901,0.032479505222731034,0.11452585899484075,5.314750690857018,0.007914596261268367,0.08081977870449315,3.430757691382293,0.008068943282965754
procrustes_participant,402,H,9,16200,19800,0.21776178829164122,8.037460143658857,0.11611833873457605,0.6604993708945861,19.984289580108033,0.7411981543027082,0.8255251731765665,25.345409535961608,0.5291454161405446,0.12882492362141576,4.2447061242295145,0.027093104384378317,0.9951177401941262,33.184063258392484,0.4314025994609411,0.16056842102583693,5.49609155912739,0.03502031021444157,0.16988946666130247,6.831812393257601,0.024899261294978787,0.07913074361146302,3.2948067082267984,0.007867233493769913
procrustes_participant,402,H,10,18000,21600,0.23836807731678797,8.492811664128153,0.1101056346424502,0.7839451437477667,23.20043400486987,0.5592478241440645,0.8877361105621149,27.03817893976023,0.4746424547146552,0.13815460571431765,4.487755882720629,0.027709261390772552,1.197437912318518,39.64078740630579,0.3897081172156748,0.17632825147442494,6.157277313758735,0.03373519799374092,0.20519231081918896,8.062317975490258,0.03615662478337664,0.07962310769296316,3.279056252375624,0.007394983384510071
procrustes_participant,402,H,11,19800,23400,0.22764755526694117,8.027480589833257,0.10744130080319808,0.7138414775942947,21.47193665286041,0.5292738434102371,0.7845719347810365,23.971802783964737,0.4412888613650082,0.12105874118931977,4.069273938797587,0.025813069911544813,1.0432326322814458,36.056012656394444,0.3994453579560789,0.16340527244503486,6.031325913771073,0.028808616945359786,0.1800882469647129,7.622854658818538,0.03566418374708351,0.07752979695638472,3.1763458339042274,0.008053127530058666
procrustes_participant,402,H,12,21600,25200,0.2240150179679859,7.9629636694443375,0.0940317174354038,0.6881606219754911,21.805954013249217,0.31829121296257357,0.8096648389571581,25.622124421001004,0.32506775971252744,0.1204927931720539,4.208440750491683,0.023287140117252966,1.0879782386448205,40.948865153695515,0.2966407347726355,0.16770846402056325,6.094617827556998,0.030528825255510917,0.17219833700388773,7.221297620163997,0.03217232678588304,0.08196763283783039,3.4217665599645373,0.007897386669687942
procrustes_participant,402,H,13,23400,27000,0.22172469279018062,8.134138696659516,0.09825917589148193,0.645809735966591,21.340179458640893,0.25783301794703417,0.8226153587168387,26.933311042901714,0.3621980922104854,0.12340858782553743,4.36542044021692,0.023585843140534184,1.1645926168458223,46.829802276866936,0.28777825287721787,0.17733263639229746,6.423293304247199,0.03587790383463038,0.18444227900978497,7.434004809232295,0.03257175125570729,0.08918012194293233,3.81403813080714,0.00827369005602509
procrustes_participant,402,H,14,25200,28800,0.22430859080979051,8.391604767337968,0.09841663018212814,0.6263931382113569,20.553194307483633,0.39045411279600295,0.8290905226902987,27.682462584419216,0.38155831311580596,0.11666378831465112,4.150327391008891,0.021184311671510782,1.1034798120725142,44.834646177294005,0.32847160394517316,0.17521623011511853,6.5736115317686314,0.031074541849456894,0.1956087278023653,7.956025428634401,0.03781546662166022,0.09107670276736879,3.804551722187055,0.008517970662914922
procrustes_participant,402,L,0,0,3600,0.2239009195505611,7.940416662919745,0.09933191839182051,0.722859594793957,21.356283039874647,0.46977460042964914,0.8687069175194873,26.30997363419448,0.44022427784744866,0.13161449256942864,4.286510811189377,0.030381428626131045,1.309905068453196,47.76838543596159,0.4138864480912323,0.17973134533082374,6.454129396299796,0.038845149978716964,0.1400771175046854,6.005399790889904,0.03469854594306253,0.07914955164220575,3.2562603088269513,0.008506947648061413
procrustes_participant,402,L,1,1800,5400,0.2410091368030573,8.724833266318328,0.09729442403054815,0.7578163089329215,23.113680783797637,0.3791989984566186,0.820343886636869,25.741627958541777,0.4373499051632513,0.13168279589732595,4.5421969394591875,0.02780536050133447,1.2967373231120323,49.01737270432661,0.32625981675456656,0.17255083648023709,6.156881522354102,0.03372161600354803,0.19151334150202018,7.514125567186039,0.040951260215179544,0.07605681216749641,3.0656229145177796,0.007113778916960427
procrustes_participant,402,L,2,3600,7200,0.23628897791888334,8.677650522537798,0.08374343458549227,0.7461879791837692,22.372224339689858,0.36938262534004723,0.8266300228218113,25.972597046617928,0.35783353706449006,0.13123666343312523,4.542295453173264,0.02305721750197256,1.235865297445398,47.12525785793402,0.2595610507041636,0.16497315126811177,5.754042845811341,0.030386198845694344,0.21605324146619237,8.206448392265791,0.03751349244850337,0.07541206709139762,3.0345281211083592,0.006401144229329327
procrustes_participant,402,L,3,5400,9000,0.21873823928303932,8.001932850585645,0.07504175657153582,0.6486266993740533,20.476107674583442,0.3271332542410778,0.8022741706326976,25.52697301450714,0.36963858615452866,0.12238852625371299,4.347901171103247,0.025299018096139863,1.1632490299650382,44.81106659094737,0.24232381262023264,0.16554299445886447,5.911568034457938,0.03493477117100069,0.20337673006923124,7.821864869898423,0.0363981078050377,0.07474813713043146,3.0573209691740555,0.006686798067841882
procrustes_participant,402,L,4,7200,10800,0.21018491079243415,7.781617450566034,0.07387613911243156,0.6255170579180388,20.584844771656684,0.3251584284693033,0.7988689601543769,25.7234735926756,0.38488063821501056,0.12217514914751715,4.311299757990442,0.027654055631970324,1.159972984081112,45.94171078743118,0.27154807711999956,0.16417949792122347,5.933289612697771,0.03742304461856211,0.16171013803807666,6.778480553612597,0.024442042920128342,0.07904035996460698,3.272446241186191,0.008266792510393401
procrustes_participant,402,L,5,9000,12600,0.18571378507470493,7.06851635735737,0.05864347792270357,0.5127564512137848,17.0980969620263,0.27397839971657806,0.6881361902276959,23.003551860097346,0.2905679519331646,0.1041870185987597,3.670822642331883,0.021992129062296282,0.9783796661962463,37.591816021480156,0.24891629980150184,0.14985310360215776,5.453023219957119,0.032587315250682626,0.1379054776198483,6.071250567615283,0.013122755761231139,0.07032304691283556,2.911433343545361,0.007956414211069072
procrustes_participant,402,L,6,10800,14400,0.1774063958430638,6.742479332338174,0.06161965837847741,0.41702256480897737,14.470454822616983,0.20816914542802384,0.5521672713994963,19.422127199310218,0.18550714410591748,0.08527838068017292,3.1041554827012474,0.01639447813575608,0.7995165129661549,29.808084569417606,0.20269784372689476,0.13059536566229812,4.802858063793482,0.02427953658635949,0.12359774571247784,5.369910954082843,0.011829155216720346,0.0627255431256984,2.575015154473011,0.006108414076508461
