source,participant,condition,window_index,t_start_frame,t_end_frame,head_rotation_rad_mean_abs_vel,head_rotation_rad_mean_abs_acc,head_rotation_rad_rms,blink_aperture_mean_abs_vel,blink_aperture_mean_abs_acc,blink_aperture_rms,mouth_aperture_mean_abs_vel,mouth_aperture_mean_abs_acc,mouth_aperture_rms,pupil_dx_mean_abs_vel,pupil_dx_mean_abs_acc,pupil_dx_rms,pupil_dy_mean_abs_vel,pupil_dy_mean_abs_acc,pupil_dy_rms,pupil_metric_mean_abs_vel,pupil_metric_mean_abs_acc,pupil_metric_rms,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
original,402,H,0,0,3600,0.29016480474210166,9.818030852534086,0.21141479938879004,0.17274956215707657,5.980682191492146,0.03663943982168521,0.18233287840637943,7.262121116466096,0.03742899368312593,0.06283740529919857,2.4560318466300424,0.005799286897473601,0.10929847310235356,4.214501810260138,0.011183758254692682,0.08125197098653344,3.356419047709566,0.007630527391559557,0.19814656888442964,4.195889636754613,0.2059452452473633,0.19170469025851514,3.3889307768697945,0.21654339265877626,0.1931353284769258,4.879609288548799,0.08880729560599404
original,402,H,1,1800,5400,0.27416319928725563,9.572266314288484,0.19002714312534008,0.157593825186886,5.643939583231005,0.034000162775082075,0.18431606694863556,7.366719107048631,0.037933707198674484,0.06001216790599364,2.3236988813968846,0.0056794075626914,0.10379535364389837,4.03098367044679,0.010760304825712198,0.07414790355273926,3.0309623634638325,0.007363955344636026,0.17286576070248688,3.9038625681924617,0.13191394180427274,0.14877474669115995,2.6036103151942074,0.12498445044746208,0.16929485614204356,4.498022582099744,0.07985644508798406
original,402,H,2,3600,7200,0.2719948959793002,9.36876000791407,0.13950023030323772,0.1647418317261444,5.812698811707069,0.032463263805200857,0.18828538531537997,7.734640893180064,0.037084217174801606,0.06147278514348448,2.429295507960159,0.005662386125633048,0.10436548565983676,4.116636683596236,0.010855925954634983,0.08207096072310997,3.3735057756933067,0.007729633097400346,0.16026534963650865,3.6818869537241348,0.09264503528435021,0.14221391912932937,2.478317475882627,0.09229761210773332,0.16002827065693173,4.403756773147443,0.06019106760635491
original,402,H,3,5400,9000,0.3211431148292834,10.469120490426652,0.1706743390243202,0.18912317654400104,6.702549816202953,0.033370124208856926,0.25126555769512376,9.627338406091889,0.04298989573933939,0.069377316038917,2.801099524079814,0.00553486984167785,0.11543779036746635,4.54293237107939,0.011101336756097686,0.09451815335463286,3.9100481593707497,0.007714397421392191,0.2018975664999544,3.890654809632519,0.11236774792130617,0.19167877745904172,2.982928140611937,0.11992701107460317,0.17467149083158046,4.549234010953607,0.057953934408565895
original,402,H,4,7200,10800,0.294886852140808,9.6062498763636,0.17735344011308715,0.16465925170942253,5.9208257247950495,0.02933030239785936,0.17388875047286928,6.945524667958716,0.03357043881537885,0.06396621979579706,2.572341748174964,0.005608715967238623,0.10567891636717945,4.115508518529332,0.009156103335718875,0.08373639065721956,3.4116134122929798,0.006717259510422026,0.2030711362313019,3.6467784806902053,0.12429152046168924,0.19379288135994208,2.9851597149981672,0.1264290301907553,0.1572604648756752,4.301917739239424,0.05041396221736204
original,402,H,5,9000,12600,0.25156030311799665,8.344622354249893,0.16328265268065367,0.13315406990658304,4.999346700094344,0.022009845666441288,0.14209853941320727,5.374743649576039,0.03544994561462007,0.06022204497782274,2.3579621057414553,0.005667245302042041,0.0950964161282107,3.707345725353208,0.008542695307083098,0.07916892364287677,3.207136495095308,0.006383989177435023,0.17498160029787188,3.2357771452482242,0.09571454657231508,0.16583021714527746,2.6098431082058786,0.09434353417250704,0.128808407082786,3.957036368578572,0.04605848823035007
original,402,H,6,10800,14400,0.2785219586256455,9.41932148077484,0.18826188988621642,0.1587396462616475,5.748666163840323,0.030014587938868697,0.18257125074686248,6.797476882367758,0.040174095508827494,0.06744114684608059,2.660193663524176,0.005583685129831421,0.10662081792294777,4.174452416896206,0.009412604545067484,0.08868549693374599,3.667028849614965,0.006971277406936149,0.21115668697898776,4.0405796274178645,0.10844452000165836,0.1800926520250556,2.7800704539075447,0.10815985550885295,0.16384522558561224,4.469836412581366,0.07042873531147512
original,402,H,7,12600,16200,0.27650360245501593,10.049209208526255,0.1884250327312083,0.16890575046887102,6.031536266297364,0.034243848226652746,0.12791929111081274,5.8091076929582055,0.022074957274205362,0.06488536895947737,2.5930258073886367,0.005334259778749038,0.11087873449342087,4.409062305916655,0.010650024028042443,0.08926075265980242,3.7705765437074374,0.008192711577589646,0.20860530639154282,4.801194863130316,0.19876134963606865,0.15892932728594397,2.853210208539614,0.22170131087333467,0.1788406655342998,4.833362724608835,0.07496372183762424
original,402,H,8,14400,18000,0.24945071175530414,9.104531952142377,0.16956745522526234,0.15246979654933118,5.415734049281889,0.03464376790916718,0.11557706591517504,5.369002811919167,0.00794443836053881,0.05760889056920007,2.2711404104279924,0.005029966105594556,0.10498227271156181,4.179191800955462,0.011171340884407013,0.08254931288019493,3.485404218519042,0.008510072162274219,0.16641285348894352,4.43926812401228,0.19826672636344134,0.14675254816375005,3.2652017694236335,0.23265544208970637,0.1477666162356827,4.17973395777862,0.08892489278084517
original,402,H,9,16200,19800,0.2605176256576689,9.205567763158687,0.21323716191891465,0.16410683093919706,5.510270138704024,0.037003562512529044,0.16874814581872993,6.805553915365975,0.02449120031258426,0.05588245694116709,2.1806146687611503,0.005316922583852668,0.10877130207670874,4.2848311533494625,0.011867165876108395,0.07989542647530193,3.304928783414368,0.008194008924674721,0.17120789377516105,3.9083751607401687,0.18325181799667123,0.16152751411983138,3.2526717383099175,0.1907934164543682,0.15270934026458644,4.012430887990527,0.08865342214466465
