groups,split_strategy,feature_selection,selection_level,selection_stopping,use_pca,pca_variance,n_seeds,cv_acc_mean,cv_bal_acc_mean,cv_f1_mean,cv_kappa_mean,test_acc_mean,test_bal_acc_mean,test_f1_mean,test_kappa_mean,cv_acc_std,cv_bal_acc_std,cv_f1_std,cv_kappa_std,test_acc_std,test_bal_acc_std,test_f1_std,test_kappa_std,run_dir,json_path
linear_pose_main,random,forward,metric,drop,False,0.95,20,0.8874277272552854,0.8874156752810723,0.8873714348832149,0.831113899947818,0.9139280125195619,0.9140376906886495,0.9136893651313895,0.8707309977374225,0.0063519228250529395,0.006375453963083011,0.006362968676751413,0.009520557273975843,0.012914853363974129,0.012988103790754912,0.012896764887410267,0.0193654314664132,data/model_output/20250913-202719/linear_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-202719/linear_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
linear_pose_main,participant,forward,metric,drop,False,0.95,20,0.9150654917067893,0.9151145693798322,0.9150358891549057,0.8725969060649715,0.3498261968347361,0.3495077240481773,0.34686055939744426,0.02450720366676708,0.007131566463417633,0.0071096981566582855,0.007147146552210486,0.010694615344145465,0.03868229749986861,0.038719597028418526,0.03893871154439191,0.058298382484235835,data/model_output/20250913-203334/linear_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-203334/linear_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
rqa_pose_main,random,forward,metric,drop,False,0.95,20,0.4919294423120343,0.4911958843811738,0.4894283908337084,0.23743612407165088,0.5010077519379845,0.5014454606267924,0.498844475129858,0.2517603421034042,0.007732454059180722,0.007590335368528925,0.007454741085625673,0.011557832253532881,0.014804930511234866,0.014876996072297491,0.014860236399525932,0.022155370920618346,data/model_output/20250913-203948/rqa_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-203948/rqa_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
rqa_pose_main,participant,forward,metric,drop,False,0.95,20,0.5096955412762271,0.5092377439822796,0.5073406402863891,0.26431830535312983,0.3967361712361713,0.39626126126126127,0.3936998782582981,0.09489291567183847,0.007490864027556611,0.007411967339344323,0.0072638440516867575,0.011198707045102075,0.0236001650210654,0.023539866455000214,0.021925931678781468,0.03533319004117188,data/model_output/20250913-212029/rqa_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-212029/rqa_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
performance_main,random,forward,metric,drop,False,0.95,20,0.5339147286821706,0.5327483085344926,0.52337691657874,0.3002988871413744,0.5426356589147286,0.5431282464401128,0.5318816932061226,0.31414382405533375,0.008019160018670625,0.007925053682084078,0.007844135585262384,0.011979740431901037,0.02042006341198473,0.019075203272415166,0.020422872941841565,0.029807429374225005,data/model_output/20250913-220025/performance_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-220025/performance_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
performance_main,participant,forward,metric,drop,False,0.95,20,0.5468831556014219,0.5458949456975771,0.5373162097575841,0.3199187212765794,0.49296464646464655,0.4922222222222222,0.4799398510253085,0.239084476011084,0.007257295017724403,0.007458313802959599,0.007464934371309822,0.0109702655742093,0.016728792914148773,0.01709098594730426,0.017765039133848203,0.02525173809180552,data/model_output/20250913-220056/performance_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-220056/performance_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
linear_pose_main+rqa_pose_main,random,forward,metric,drop,False,0.95,20,0.9008929780988936,0.9008759041577032,0.9008635234478175,0.851317256270079,0.9271317829457363,0.9276699210198659,0.9271343664597328,0.890611503407522,0.005763173452135316,0.005744371658484565,0.005759865221645541,0.008640320363593454,0.009192882647414215,0.009207546468568093,0.009215328616281503,0.013814793412847267,data/model_output/20250913-220126/linear_pose_main+rqa_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-220126/linear_pose_main+rqa_pose_main__split=random__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
linear_pose_main+rqa_pose_main,participant,forward,metric,drop,False,0.95,20,0.9246148777662266,0.9246451450874849,0.9246194314093715,0.886920503354667,0.35916080447330445,0.3591411411411411,0.356404304301368,0.03901004238641389,0.004567634014957978,0.004579668092940157,0.004564303054911038,0.006851625530676624,0.05096377003247924,0.05076952859933782,0.05160689904000478,0.07629302784056131,data/model_output/20250913-225117/linear_pose_main+rqa_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20,data/model_output/20250913-225117/linear_pose_main+rqa_pose_main__split=participant__sel=forward__lvl=metric__stop=drop__pca=False__var=0.95__seeds=20/results.json
