participant,condition,window_index,track_point_accuracy_baseline_min,track_point_accuracy_baseline_max,resman_point_accuracy_baseline_min,resman_point_accuracy_baseline_max,sysmon_point_accuracy_baseline_min,sysmon_point_accuracy_baseline_max,comms_point_accuracy_baseline_min,comms_point_accuracy_baseline_max,mean_sysmon_response_time_baseline_min,mean_sysmon_response_time_baseline_max,mean_comms_response_time_baseline_min,mean_comms_response_time_baseline_max,track_point_accuracy_baseline_range,resman_point_accuracy_baseline_range,sysmon_point_accuracy_baseline_range,comms_point_accuracy_baseline_range,mean_sysmon_response_time_baseline_range,mean_comms_response_time_baseline_range
415,H,0,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,1,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,2,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,3,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,4,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,5,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,6,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,7,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,8,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,9,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,10,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,11,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,12,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,13,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
415,H,14,0.9128964059196616,1.0,0.9833333333333332,1.0,0.6,1.0,0.5,1.0,1560.0,3850.0,2.7566489999999995,4.025363000000006,0.08710359408033841,0.01666666666666683,0.4,0.5,2290.0,1.2687140000000063
443,M,0,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
443,M,1,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
443,M,2,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
443,M,3,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
443,M,4,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
443,M,5,0.9756200084068936,1.0,0.8333333333333334,1.0,0.2,1.0,0.0,1.0,1640.0,4333.333333333333,0.0,4.956122499999999,0.024379991593106443,0.16666666666666663,0.8,1.0,2693.333333333333,4.956122499999999
