file,keypoint,bad_windows,total_windows,pct_bad
468_H.csv,27,0,4,0.0
468_H.csv,28,0,4,0.0
468_H.csv,29,0,4,0.0
468_H.csv,30,0,4,0.0
468_H.csv,31,0,4,0.0
468_H.csv,32,0,4,0.0
468_H.csv,33,0,4,0.0
468_H.csv,34,0,4,0.0
468_H.csv,35,0,4,0.0
468_H.csv,36,0,4,0.0
468_H.csv,37,0,4,0.0
468_H.csv,38,0,4,0.0
468_H.csv,40,0,4,0.0
468_H.csv,41,0,4,0.0
468_H.csv,43,0,4,0.0
468_H.csv,44,0,4,0.0
468_H.csv,45,0,4,0.0
468_H.csv,46,0,4,0.0
468_H.csv,47,0,4,0.0
468_H.csv,62,0,4,0.0
468_H.csv,66,0,4,0.0
468_H.csv,68,0,4,0.0
468_H.csv,69,0,4,0.0
475_M.csv,27,0,4,0.0
475_M.csv,28,0,4,0.0
475_M.csv,29,0,4,0.0
475_M.csv,30,0,4,0.0
475_M.csv,31,0,4,0.0
475_M.csv,32,0,4,0.0
475_M.csv,33,0,4,0.0
475_M.csv,34,0,4,0.0
475_M.csv,35,0,4,0.0
475_M.csv,36,0,4,0.0
475_M.csv,37,0,4,0.0
475_M.csv,38,0,4,0.0
475_M.csv,40,0,4,0.0
475_M.csv,41,0,4,0.0
475_M.csv,43,0,4,0.0
475_M.csv,44,0,4,0.0
475_M.csv,45,0,4,0.0
475_M.csv,46,0,4,0.0
475_M.csv,47,0,4,0.0
475_M.csv,62,0,4,0.0
475_M.csv,66,0,4,0.0
475_M.csv,68,0,4,0.0
475_M.csv,69,0,4,0.0
430_M.csv,27,0,4,0.0
430_M.csv,28,0,4,0.0
430_M.csv,29,0,4,0.0
430_M.csv,30,0,4,0.0
430_M.csv,31,0,4,0.0
430_M.csv,32,0,4,0.0
430_M.csv,33,0,4,0.0
430_M.csv,34,0,4,0.0
430_M.csv,35,0,4,0.0
430_M.csv,36,0,4,0.0
430_M.csv,37,0,4,0.0
430_M.csv,38,0,4,0.0
430_M.csv,40,0,4,0.0
430_M.csv,41,0,4,0.0
430_M.csv,43,0,4,0.0
430_M.csv,44,0,4,0.0
430_M.csv,45,0,4,0.0
430_M.csv,46,0,4,0.0
430_M.csv,47,0,4,0.0
430_M.csv,62,0,4,0.0
430_M.csv,66,0,4,0.0
430_M.csv,68,0,4,0.0
430_M.csv,69,0,4,0.0
451_L.csv,27,0,4,0.0
451_L.csv,28,0,4,0.0
451_L.csv,29,0,4,0.0
451_L.csv,30,0,4,0.0
451_L.csv,31,0,4,0.0
451_L.csv,32,0,4,0.0
451_L.csv,33,0,4,0.0
451_L.csv,34,0,4,0.0
451_L.csv,35,0,4,0.0
451_L.csv,36,0,4,0.0
451_L.csv,37,0,4,0.0
451_L.csv,38,0,4,0.0
451_L.csv,40,0,4,0.0
451_L.csv,41,0,4,0.0
451_L.csv,43,0,4,0.0
451_L.csv,44,0,4,0.0
451_L.csv,45,0,4,0.0
451_L.csv,46,0,4,0.0
451_L.csv,47,0,4,0.0
451_L.csv,62,0,4,0.0
451_L.csv,66,0,4,0.0
451_L.csv,68,0,4,0.0
451_L.csv,69,0,4,0.0
414_L.csv,27,0,4,0.0
414_L.csv,28,0,4,0.0
414_L.csv,29,0,4,0.0
414_L.csv,30,0,4,0.0
414_L.csv,31,0,4,0.0
414_L.csv,32,0,4,0.0
414_L.csv,33,0,4,0.0
414_L.csv,34,0,4,0.0
414_L.csv,35,0,4,0.0
414_L.csv,36,0,4,0.0
414_L.csv,37,0,4,0.0
414_L.csv,38,0,4,0.0
414_L.csv,40,0,4,0.0
414_L.csv,41,0,4,0.0
414_L.csv,43,0,4,0.0
414_L.csv,44,0,4,0.0
414_L.csv,45,0,4,0.0
414_L.csv,46,0,4,0.0
414_L.csv,47,0,4,0.0
414_L.csv,62,0,4,0.0
414_L.csv,66,0,4,0.0
414_L.csv,68,0,4,0.0
414_L.csv,69,0,4,0.0
429_L.csv,27,0,4,0.0
429_L.csv,28,0,4,0.0
429_L.csv,29,0,4,0.0
429_L.csv,30,0,4,0.0
429_L.csv,31,0,4,0.0
429_L.csv,32,0,4,0.0
429_L.csv,33,0,4,0.0
429_L.csv,34,0,4,0.0
429_L.csv,35,0,4,0.0
429_L.csv,36,0,4,0.0
429_L.csv,37,0,4,0.0
429_L.csv,38,0,4,0.0
429_L.csv,40,0,4,0.0
429_L.csv,41,0,4,0.0
429_L.csv,43,0,4,0.0
429_L.csv,44,0,4,0.0
429_L.csv,45,0,4,0.0
429_L.csv,46,0,4,0.0
429_L.csv,47,0,4,0.0
429_L.csv,62,0,4,0.0
429_L.csv,66,0,4,0.0
429_L.csv,68,0,4,0.0
429_L.csv,69,0,4,0.0
448_M.csv,27,0,4,0.0
448_M.csv,28,0,4,0.0
448_M.csv,29,0,4,0.0
448_M.csv,30,0,4,0.0
448_M.csv,31,0,4,0.0
448_M.csv,32,0,4,0.0
448_M.csv,33,0,4,0.0
448_M.csv,34,0,4,0.0
448_M.csv,35,0,4,0.0
448_M.csv,36,0,4,0.0
448_M.csv,37,0,4,0.0
448_M.csv,38,0,4,0.0
448_M.csv,40,0,4,0.0
