participant,condition,mental_demand,physical_demand,time_pressure,performance,effort,frustration
440,H,8.064718,6.003086,8.809799,4.476755,6.617959,7.594522
469,L,3.109568,4.549093,4.049961,7.037519,4.397184,3.746142
453,M,7.297936,6.183931,6.212867,8.050251,7.370274,7.355806
448,L,10.0,0.27392,9.236593,3.500193,10.0,3.377218
458,H,9.07745,8.628954,6.350309,2.494695,8.231096,6.950714
425,M,3.775077,5.966917,5.178434,3.355517,2.653839,1.040702
477,M,5.699267,5.330343,5.1712,5.0,5.127797,5.0
452,H,10.0,5.0,9.070216,5.880112,10.0,7.652392
464,M,7.051987,7.174961,6.292438,6.032022,5.156732,5.0
477,L,5.402681,5.294174,5.01929,5.0,5.091628,5.0
437,H,7.72473,6.046489,6.849441,4.729938,6.480517,3.804012
470,M,6.516686,3.449556,7.00135,7.399209,7.066454,6.111593
404,L,7.811535,7.442612,8.050251,4.100598,8.375772,6.386478
449,H,9.28723,8.20216,6.212867,8.643422,8.882137,1.011767
443,H,9.236593,7.196663,8.383005,7.659626,8.77363,7.348573
455,L,9.012346,6.646894,8.542149,3.073399,8.520448,7.189429
432,H,8.874904,8.766397,9.605517,5.612461,8.267265,1.908758
431,L,6.039255,5.0,6.516686,6.039255,7.00135,4.006559
434,H,6.133295,5.706501,6.118827,5.569059,6.422647,3.709973
417,L,7.529417,6.52392,5.757137,0.0,7.449846,2.863619
467,H,8.513214,8.108121,8.028549,9.055748,8.621721,5.0
435,M,8.238329,6.321373,7.30517,5.684799,6.364776,4.795042
448,H,9.800829,3.326582,10.0,0.90326,9.685089,7.478781
475,L,9.294464,0.990066,5.489487,6.060957,9.771894,5.004823
447,H,9.012346,8.057485,7.507716,6.198399,8.411941,9.525945
433,L,5.258005,5.142265,4.476755,6.16223,5.554591,7.507716
461,M,5.916281,5.59076,4.975887,5.64863,5.409915,4.787809
412,M,8.014082,3.181906,6.089892,2.588735,6.097126,5.0
441,M,3.225309,0.0,0.418596,0.0,0.469232,0.0
459,H,9.113619,7.608989,9.13532,3.442323,8.817033,7.109857
440,M,7.529417,5.0,4.035494,3.51466,6.003086,6.227334
476,M,8.77363,8.788098,8.874904,6.538387,8.737461,6.914545
414,H,6.545621,4.664834,8.043017,4.035494,5.655864,4.889082
404,M,8.686825,7.637924,5.95245,4.491223,8.527681,6.176698
462,H,9.468075,8.231096,9.128086,5.981385,7.695795,3.051698
471,M,7.963445,4.057195,7.970679,6.784336,6.748167,3.001061
469,M,8.896605,4.556327,8.968943,7.218364,6.111593,0.700714
477,H,7.87664,5.829475,8.194927,6.900077,6.335841,5.0
409,L,5.974151,5.735436,3.890818,1.995563,7.471547,5.923515
423,L,9.547647,9.728492,8.108121,7.283468,9.106385,1.843654
418,L,6.393711,4.230806,4.223573,5.402681,6.762635,4.946952
447,M,7.637924,5.655864,7.630691,8.194927,7.630691,8.071952
444,H,10.0,3.0951,9.822531,5.308642,9.728492,9.446373
416,M,7.87664,7.435378,7.240066,4.129533,6.386478,6.42988
430,M,8.383005,3.97039,5.634163,6.01032,7.131559,5.64863
468,M,8.433642,1.95216,7.681327,2.841917,7.486015,7.384742
458,L,9.193191,4.578029,7.580054,1.156443,7.037519,7.623457
411,M,1.604938,1.5326,3.550829,1.026235,1.887056,5.540123
426,M,6.900077,6.306906,6.111593,4.288677,6.111593,5.525656
426,H,7.478781,5.843943,6.646894,3.890818,7.269001,5.822242
439,L,7.659626,6.400945,7.09539,4.187404,6.777103,5.0
438,L,6.777103,5.547357,5.286941,4.606964,4.151235,5.619695
464,L,6.509452,6.350309,8.35407,7.09539,3.232542,5.0
442,H,8.2962,7.478781,8.903839,4.078897,7.977913,5.822242
457,L,7.637924,6.068191,5.200135,0.584973,6.285204,8.498746
434,M,6.234568,4.006559,6.075424,6.075424,6.060957,1.735147
466,L,9.583816,1.11304,9.157022,7.102623,7.051987,5.091628
462,M,9.265529,2.595968,6.834973,3.080633,8.722994,3.695505
451,H,8.100887,7.232832,7.985147,7.442612,6.878376,7.854938
409,M,7.985147,6.965181,9.106385,2.704475,7.457079,7.015818
427,H,6.545621,5.344811,5.634163,5.308642,5.511188,5.815008
444,L,10.0,3.97039,9.193191,4.729938,9.793596,8.209394
463,H,9.446373,9.113619,9.128086,6.675829,7.891107,7.688561
457,H,8.694059,6.039255,8.882137,4.860147,8.889371,8.896605
457,M,8.614487,6.154996,6.936246,8.390239,8.303434,7.57282
446,H,8.722994,5.43885,7.406443,4.353781,7.138792,2.010031
415,M,7.551119,5.113329,3.832948,6.516686,6.400945,5.352045
471,L,6.632427,3.840181,3.789545,7.283468,6.567323,3.869117
474,L,10.0,7.15326,5.402681,7.088156,10.0,6.646894
413,L,8.650656,5.561825,8.397473,5.59076,8.310667,5.446084
449,L,7.493248,9.3451,5.663098,6.88561,8.288966,0.519869
414,M,5.0,3.507427,3.500193,6.089892,3.239776,2.581501
473,H,10.0,4.585262,10.0,3.174672,10.0,10.0
474,H,10.0,5.923515,5.974151,2.986593,7.580054,6.060957
461,H,5.815008,5.062693,5.120563,4.6576,5.308642,3.926987
454,L,8.2962,4.563561,4.780575,3.18914,6.538387,5.59076
446,L,7.999614,5.916281,7.109857,2.147473,7.608989,1.163677
454,H,8.173225,3.290413,4.6576,2.88532,6.386478,3.362751
413,M,6.299672,8.513214,5.409915,4.621431,5.503954,5.388214
433,M,6.16223,8.650656,6.863908,7.789834,6.111593,5.518422
453,L,7.117091,6.227334,6.212867,8.021316,7.066454,7.080922
443,L,7.637924,1.547068,7.507716,7.948978,7.023052,5.764371
467,L,5.923515,3.413387,6.379244,7.739198,6.285204,3.500193
