participant,condition,column,window_index,window_start,window_end,perc_recur,perc_determ,maxl_found,mean_line_length,std_line_length,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
402,H,interocular,0,0,3600,0.3613135135886307,23.647214854111407,58.0,5.359719438877756,2.8928529028067445,2.208325241993808,0.4123342175066313,5.41952353282975,21.0,0.017241379310344827,-0.13378193710965064,-0.13378193710965064
402,H,interocular,1,1800,5400,0.5146081992610484,33.95412359934196,82.0,5.491465863453815,3.0625879972341163,2.3503630074555653,0.5195859328925723,5.900422982023264,42.0,0.012195121951219513,0.13099006648069667,0.13099006648069667
402,H,interocular,2,3600,7200,0.45367048686756356,23.984226462925147,43.0,5.235972328977709,2.4445513452958028,2.140316579294888,0.4200584465882684,5.387446376157146,29.0,0.023255813953488372,-0.1938029054572802,-0.1938029054572802
402,H,head_rotation_rad,0,0,3600,2.32834772863662,65.71902912887779,238.0,8.080641079713201,8.624442754889765,3.4208972814023193,0.7812452835366271,9.803632920110193,137.0,0.004201680672268907,-1.2609639136377893,-1.2609639136377893
402,H,head_rotation_rad,1,1800,5400,3.589367032074641,84.74358289721955,409.0,13.371883996910329,27.49728332056457,4.125378506440817,0.9059974545195628,16.095224918965926,358.0,0.0024449877750611247,7.411346770958777,7.411346770958777
402,H,head_rotation_rad,2,3600,7200,5.4592682906181,92.79969102660506,458.0,17.77150221325713,35.29129094182186,4.677691387529728,0.9534886782902302,22.927533682766384,440.0,0.002183406113537118,-3.8494259209901065,-3.8494259209901065
402,H,head_tx,0,0,3600,2.1523870891276737,89.07755102040817,419.0,12.620334349700347,22.85744595058698,4.178719601375489,0.923899814471243,14.950822625195148,289.0,0.002386634844868735,-0.9023152052273957,-0.9023152052273957
402,H,head_tx,1,1800,5400,1.914338667685969,88.45861807137433,460.0,13.73073436083409,25.043997540605837,4.279644308546254,0.9211744974842925,15.189873417721518,253.0,0.002173913043478261,-0.9330057270436253,-0.9330057270436253
402,H,head_tx,2,3600,7200,3.031279814953811,95.35761146211526,749.0,23.714192111125673,42.74055489226038,5.204291131890286,0.9668735805409621,25.482466495382265,282.0,0.0013351134846461949,-2.301577663514064,-2.301577663514064
402,H,head_ty,0,0,3600,1.957977417426205,84.15389259171636,399.0,10.49816812538164,13.624490896570922,4.007377519265151,0.896515716395141,12.281403665623603,165.0,0.002506265664160401,-0.7282264528505727,-0.7282264528505727
402,H,head_ty,1,1800,5400,1.6303992769896163,87.47832391178689,356.0,13.080867272194551,23.750119469422955,4.20169621110655,0.911135386152776,14.291279293123319,224.0,0.0028089887640449437,-0.8320766363475728,-0.8320766363475728
402,H,head_ty,2,3600,7200,2.98275326967166,91.21910729108095,429.0,15.05018554514932,26.007294188349366,4.528947465134333,0.9395881864674539,17.929082362558756,258.0,0.002331002331002331,-2.181059761154672,-2.181059761154672
402,H,head_scale,0,0,3600,0.6605871648086388,45.44201566882677,139.0,5.902324120603015,4.7611487387007045,2.5552981121949805,0.6172743979108231,6.249204406364749,33.0,0.007194244604316547,-0.2295740897837889,-0.2295740897837889
402,H,head_scale,1,1800,5400,0.5351177727114375,42.63454822244112,107.0,6.0444350402031315,4.367498856731995,2.6487014717128012,0.5885197456792335,6.278980891719745,47.0,0.009345794392523364,-0.25905107792391,-0.25905107792391
402,H,head_scale,2,3600,7200,0.9749554787316203,46.25227321133083,144.0,5.981144067796611,3.9701033645242685,2.678993041656302,0.6423890427117978,6.7070646595963055,34.0,0.006944444444444444,-0.3599431130644335,-0.3599431130644335
402,H,head_motion_mag,0,0,3600,2.3351363335559463,85.60308090101306,398.0,14.397606994937874,22.245223353790006,4.391516950623798,0.9066974027128893,17.02646114322415,169.0,0.002512562814070352,-0.9562295024064225,-0.9562295024064225
402,H,head_motion_mag,1,1800,5400,1.8531773306598476,79.0196348842421,356.0,10.736268883944255,17.52416589708236,3.8224969624176457,0.8657492802840938,12.367481376592995,163.0,0.0028089887640449437,-0.02898142559027783,-0.02898142559027783
402,H,head_motion_mag,2,3600,7200,1.7815855018400315,78.86511978195381,417.0,9.664139749505603,15.211799488695203,3.7424341673369343,0.8624973102854684,11.326249484900218,157.0,0.002398081534772182,-0.6535791692448283,-0.6535791692448283
402,H,blink_aperture,0,0,3600,0.7100721013735185,48.46807936293697,140.0,6.008365867261573,3.858185647817334,2.6944939720971885,0.6451500427408108,6.602094843462247,59.0,0.007142857142857143,-0.30150792122044895,-0.30150792122044895
402,H,blink_aperture,1,1800,5400,0.48464249848773844,38.44632675257902,108.0,5.997429305912596,4.023260590898628,2.6614856585319404,0.5552387858013909,6.012312633832977,24.0,0.009259259259259259,-0.18275848349604581,-0.18275848349604581
402,H,blink_aperture,2,3600,7200,0.6321868364637854,36.54050229925716,108.0,5.549501151189562,3.531304709516999,2.3647139229418994,0.5538683106776492,5.84014919408552,33.0,0.009259259259259259,-0.2780089049334003,-0.2780089049334003
402,H,mouth_aperture,0,0,3600,28.6128516117985,74.75522035610909,267.0,7.3440204455461835,5.536130581670221,3.3033853903002903,0.8584780369618797,9.993280609294073,270.0,0.003745318352059925,-7.446580451469775,-7.446580451469775
402,H,mouth_aperture,1,1800,5400,26.238037879137593,81.73130893749658,182.0,8.175121633388747,7.020723193996176,3.5566157738576614,0.8978342657810949,11.368781533172223,312.0,0.005494505494505495,7.023136953397536,7.023136953397536
402,H,mouth_aperture,2,3600,7200,20.30315194127745,70.88980447289975,96.0,6.952439739514213,4.4608181401637355,3.170325605809474,0.8339947147183058,9.205245767826362,128.0,0.010416666666666666,0.10605410973998451,0.10605410973998451
402,H,pupil_dx,0,0,3600,0.17284586784007835,2.984936697162924,7.0,4.424657534246576,0.7006417453449,1.2228890435480064,0.1047500231032252,4.589068825910931,9.0,0.14285714285714285,-0.009995854112036542,-0.009995854112036542
402,H,pupil_dx,1,1800,5400,0.2336877411052903,6.2952836637047165,13.0,4.449275362318841,1.0659811912135204,1.235091859466297,0.17539302802460696,4.782851817334576,12.0,0.07692307692307693,0.06737969472735104,0.06737969472735104
402,H,pupil_dx,2,3600,7200,0.1608500036179271,3.634558093346574,7.0,4.305882352941176,0.6512165883810853,0.9977262470787845,0.1086891757696127,4.667377398720682,12.0,0.14285714285714285,-0.04299057473671556,-0.04299057473671556
402,H,pupil_dy,0,0,3600,0.13628324040398748,4.899203000468823,10.0,4.75,1.2545372199993257,1.642226878128984,0.12658227848101267,4.595744680851064,10.0,0.1,-0.02175021836753872,-0.02175021836753872
402,H,pupil_dy,1,1800,5400,0.13083638328048072,4.724697839091686,10.0,4.662650602409639,1.1223588373818045,1.5540921265895726,0.1193382981320962,4.546511627906977,9.0,0.1,0.09164602770673315,0.09164602770673315
402,H,pupil_dy,2,3600,7200,0.2157338777421771,7.330075521990227,11.0,4.647887323943662,1.1436527208858263,1.5638308328701374,0.19258107507774322,4.707692307692308,11.0,0.09090909090909091,-0.08160931737476361,-0.08160931737476361
